scenario,seed,S,T0,N,max.followup.time,dropout.rate,sigma.e,reg1.name,reg2.name,reg3.name,reg4.name,reg1.allctn,reg2.allctn,reg3.allctn,reg4.allctn,reg1.trtmt.hr,reg2.trtmt.hr,reg3.trtmt.hr,reg4.trtmt.hr
128,42391,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
129,529595,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
130,355278,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
131,79868,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
132,251200,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
133,891997,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
134,959065,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
135,322661,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
136,318755,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
137,135609,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
138,1031214,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
139,169929,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
140,229605,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
141,66851,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
142,397193,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
143,492977,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
144,215526,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
145,13766,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
146,294779,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
147,904470,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
148,153063,4,2,9340,60,0.0082,0.886,Reg1,Reg2,Reg3,Reg4,0.25,0.25,0.25,0.25,0.868,0.868,0.868,0.868
